Timestamp,Starost:,Spol:,Katera družabna omrežja uporabljaš?,Amelie (2001),"Izvor (Inception,  2010)","Vitez teme (The Dark Knight, 2008)",Titanic (1997),"Beležnica (Notebook, 2004)","3 idioti (3 Idiots, 2009)","Matrica (Matrix, 1999)","Življenje je lepo (La vita e' bella, 1997)","Veliki Lebowski (Big Lebowski, 1998)","Reševanje vojaka Ryana (Saving private Ryan, 1998)","Hobiji, s katerim se ukvarjaš:","Športi, s katerimi se ukvarjaš:","Glasba, ki jo poslušaš:"
2016-06-12 06:49:38,19,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,3,5,5,0,3,0,0,2,"glasba, petje;družabne igre","odbojka;tek, atletika;plavanje",pop;rock;jazz
2016-06-12 06:53:01,19,M,Facebook;Twitter;Instagram;YouTube,0,4,0,3,4,0,0,4,0,3,"branje;taborniki, skavti",nogomet,"elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 06:55:02,20,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,0,4,5,0,0,0,0,0,"glasba, petje;kuhanje, kulinarika",odbojka,"pop;r'n'b / soul;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 06:58:18,20,M,Facebook;Snapchat;YouTube,0,0,3,4,0,0,1,3,0,4,"kuhanje, kulinarika","nogomet;tek, atletika;kolesarjenje",rock;jazz;blues
2016-06-12 07:00:55,19,Ž,Facebook;Pinterest;YouTube,3,3,4,4,4,2,2,3,3,3,"branje;gledališče;slikanje, risanje, fotografija;kuhanje, kulinarika;reševanje ugank","odbojka;plavanje;kolesarjenje;vodni športi (kitesurfing, windsurfing, jadranje...);smučanje, bordanje",pop;rock;klasična glasba
2016-06-12 07:05:27,19,Ž,Facebook;Snapchat;YouTube;Vine,0,0,0,3,5,0,0,5,0,0,"glasba, petje;pohodništvo, hoja v hribe;kuhanje, kulinarika","kolesarjenje;smučanje, bordanje",narodno zabavna
2016-06-12 07:06:30,18,Ž,Facebook;Snapchat;Instagram;Pinterest;YouTube,4,0,0,5,5,0,4,5,0,0,"branje;kuhanje, kulinarika;ples","tek, atletika",pop;r'n'b / soul
2016-06-12 07:29:51,19,Ž,Facebook;Snapchat;Instagram;Pinterest;YouTube,0,0,0,2,3,0,0,0,0,5,družabne igre,nič,pop;r'n'b / soul;rock;rap / hip-hop
2016-06-12 07:32:48,18,Ž,Facebook;Snapchat;Pinterest;YouTube,0,4,4,3,3,0,0,0,0,0,"branje;slikanje, risanje, fotografija;zbirateljstvo",nogomet;košarka;kolesarjenje,"pop;rock;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...);narodnozabavna"
2016-06-12 07:33:08,,M,Facebook;Twitter;Tumblr;YouTube;Deviantart,0,0,0,3,0,0,5,0,0,5,"slikanje, risanje, fotografija",,"rock;punk;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...);alternativna"
